CODGEO,NOM_COMMUNE,POPULATION,DEP,REG
77406,Saint-Denis-lès-Rebais,966,77,11
77407,Saint-Fargeau-Ponthierry,15724,77,11
77408,Saint-Fiacre,523,77,11
77409,Saint-Germain-Laval,2888,77,11
77410,Saint-Germain-Laxis,742,77,11
77411,Saint-Germain-sous-Doue,549,77,11
77412,Saint-Germain-sur-École,365,77,11
77413,Saint-Germain-sur-Morin,3902,77,11
77414,Saint-Hilliers,474,77,11
77415,Saint-Jean-les-Deux-Jumeaux,1298,77,11
77416,Saint-Just-en-Brie,265,77,11
77417,Saint-Léger,244,77,11
77418,Saint-Loup-de-Naud,848,77,11
77419,Saint-Mammès,3162,77,11
77420,Saint-Mard,3832,77,11
77421,Saint-Mars-Vieux-Maisons,244,77,11
77423,Saint-Martin-des-Champs,661,77,11
77424,Saint-Martin-du-Boschet,257,77,11
77425,Saint-Martin-en-Bière,746,77,11
77426,Saint-Méry,334,77,11
77427,Saint-Mesmes,579,77,11
77428,Saint-Ouen-en-Brie,837,77,11
77429,Saint-Ouen-sur-Morin,529,77,11
77430,Saint-Pathus,6479,77,11
77431,Saint-Pierre-lès-Nemours,5401,77,11
77432,Saint-Rémy-de-la-Vanne,985,77,11
77433,Beautheil-Saints,2093,77,11
77434,Saint-Sauveur-lès-Bray,350,77,11
77435,Saint-Sauveur-sur-École,1125,77,11
77436,Saint-Siméon,883,77,11
77437,Saint-Soupplets,3542,77,11
77438,Saint-Thibault-des-Vignes,6831,77,11
77439,Salins,1165,77,11
77440,Sammeron,1178,77,11
77441,Samois-sur-Seine,2126,77,11
77442,Samoreau,2384,77,11
77443,Sancy,401,77,11
77444,Sancy-lès-Provins,339,77,11
77445,Savigny-le-Temple,31148,77,11
77446,Savins,617,77,11
77447,Seine-Port,1742,77,11
77448,Sept-Sorts,616,77,11
77449,Serris,10326,77,11
77450,Servon,3565,77,11
77451,Signy-Signets,638,77,11
77452,Sigy,66,77,11
77453,Sivry-Courtry,1124,77,11
77454,Sognolles-en-Montois,371,77,11
77455,Soignolles-en-Brie,2021,77,11
77456,Soisy-Bouy,850,77,11
77457,Solers,1336,77,11
77458,Souppes-sur-Loing,4952,77,11
77459,Sourdun,1541,77,11
77460,Tancrou,340,77,11
77461,Thénisy,297,77,11
77462,Thieux,778,77,11
77463,Thomery,3384,77,11
77464,Thorigny-sur-Marne,10440,77,11
77465,Thoury-Férottes,649,77,11
77466,Tigeaux,421,77,11
77467,La Tombe,208,77,11
77468,Torcy,22810,77,11
77469,Touquin,1253,77,11
77470,Tournan-en-Brie,8274,77,11
77471,Tousson,334,77,11
77472,La Trétoire,459,77,11
77473,Treuzy-Levelay,458,77,11
77474,Trilbardou,700,77,11
77475,Trilport,5146,77,11
77476,Trocy-en-Multien,233,77,11
77477,Ury,882,77,11
77478,Ussy-sur-Marne,1058,77,11
77479,Vaires-sur-Marne,13931,77,11
77480,Valence-en-Brie,1007,77,11
77481,Vanvillé,197,77,11
77482,Varennes-sur-Seine,3748,77,11
77483,Varreddes,2167,77,11
77484,Vaucourtois,277,77,11
77485,Le Vaudoué,731,77,11
77486,Vaudoy-en-Brie,872,77,11
77487,Vaux-le-Pénil,11474,77,11
77489,Vaux-sur-Lunain,229,77,11
77490,Vendrest,686,77,11
77492,Verdelot,620,77,11
77493,Verneuil-l'Étang,3223,77,11
77494,Vernou-la-Celle-sur-Seine,2630,77,11
77495,Vert-Saint-Denis,9291,77,11
77496,Vieux-Champagne,192,77,11
77498,Vignely,322,77,11
77500,Villebéon,452,77,11
77501,Villecerf,724,77,11
77504,Villemaréchal,1055,77,11
77505,Villemareuil,386,77,11
77506,Villemer,759,77,11
77507,Villenauxe-la-Petite,453,77,11
77508,Villeneuve-le-Comte,1872,77,11
77509,Villeneuve-les-Bordes,610,77,11
77510,Villeneuve-Saint-Denis,1369,77,11
77511,Villeneuve-sous-Dammartin,595,77,11
77512,Villeneuve-sur-Bellot,1151,77,11
77513,Villenoy,5127,77,11
77514,Villeparisis,26946,77,11
77515,Villeroy,711,77,11
77516,Ville-Saint-Jacques,815,77,11
77517,Villevaudé,2132,77,11
77518,Villiers-en-Bière,242,77,11
77519,Villiers-Saint-Georges,1160,77,11
77520,Villiers-sous-Grez,706,77,11
77521,Villiers-sur-Morin,2083,77,11
77522,Villiers-sur-Seine,278,77,11
77523,Villuis,272,77,11
77524,Vimpelles,512,77,11
77525,Vinantes,381,77,11
77526,Vincy-Manœuvre,271,77,11
77527,Voinsles,580,77,11
77528,Voisenon,1170,77,11
77529,Voulangis,1541,77,11
77530,Voulton,295,77,11
77531,Voulx,1626,77,11
77532,Vulaines-lès-Provins,80,77,11
77533,Vulaines-sur-Seine,2730,77,11
77534,Yèbles,980,77,11
78003,Ablis,3913,78,11
78005,Achères,22241,78,11
78006,Adainville,673,78,11
